CondA_SRR3105699	CondA_SRR3105698	CondA_SRR3105697	CondB_SRR3099587	CondB_SRR3099586	CondB_SRR3099585
ostta01g03740	229	459	253	361	324	315
ostta01g03750	157	322	181	131	191	158
ostta01g03760	1409	2650	1330	1358	1451	947
ostta01g03770	689	1247	956	1412	863	700
ostta01g03780	305	585	274	360	344	172
ostta01g03790	1224	2346	1416	1222	996	153
ostta01g03800	142	322	116	173	127	153
ostta01g03810	88	223	102	187	148	198
ostta01g03820	112	188	109	163	113	90
ostta01g03830	37	61	82	25	43	17
ostta01g03840	251	444	304	195	196	59
ostta01g03850	8	24	14	18	16	18
ostta01g03860	28	40	34	19	22	26
ostta01g03870	111	263	49	113	94	7
ostta01g03880	366	730	570	654	575	416
ostta01g03890	157	321	285	417	218	61
ostta01g03900	158	281	148	232	164	103
ostta01g03910	4197	6782	5136	8656	8796	5261
ostta01g03920	183	344	199	278	216	222
ostta01g03930	25	42	28	19	6	3
ostta01g03940	196	331	455	382	333	210
ostta01g03950	297	700	240	368	251	108
ostta01g03960	214	613	215	123	95	66
ostta01g03970	1223	2648	1185	1174	1065	1139
ostta01g03980	1	1	1	6	2	0
ostta01g03990	170	318	214	361	190	116
ostta01g04000	97	234	128	182	123	65
ostta01g04010	317	796	291	459	364	178
ostta01g04020	47	104	47	23	53	29
ostta01g04030	132	209	95	117	98	62
ostta01g04040	12	20	21	39	33	3
ostta01g04050	55	113	57	134	83	80
ostta01g04060	46	68	45	81	84	39
ostta01g04070	366	899	330	437	251	71
ostta01g04080	0	1	0	3	0	0
ostta01g04090	33	65	20	47	49	55
ostta01g04100	126	325	117	157	124	179
ostta01g04110	214	492	194	189	231	144
ostta01g04120	804	2841	763	427	371	92
ostta01g04130	157	344	209	246	158	112
ostta01g04140	845	1689	959	1643	1489	1859
ostta01g04150	88	200	69	19	22	928
ostta01g04160	24	37	24	52	68	20
ostta01g04170	219	328	158	272	259	441
ostta01g04180	153	296	254	325	189	185
ostta01g04190	56	132	83	65	88	48
ostta01g04200	242	360	378	549	359	271
ostta01g04210	350	646	406	651	460	397
ostta01g04230	129	300	121	253	165	228
ostta01g04240	232	426	223	352	283	224
ostta01g04250	222	403	237	359	191	214
ostta01g04260	54	108	80	6	5	6
ostta01g04270	383	844	357	435	440	433
ostta01g04275	32	46	35	48	48	57
ostta01g04280	1151	3011	998	1621	1618	1982
ostta01g04290	55	203	102	122	112	86
ostta01g04300	91	232	89	162	174	151
ostta01g04310	42	94	23	68	63	55
ostta01g04320	49	86	42	62	27	10
ostta01g04330	106	192	97	230	127	162
ostta01g04340	483	1108	380	433	367	211
ostta01g04350	163	360	164	232	195	287
ostta01g04360	116	228	137	185	200	251
ostta01g04370	224	584	275	362	429	313
ostta01g04380	90	184	93	46	47	7
ostta01g04390	118	293	119	236	205	235
ostta01g04400	63	120	98	111	90	16
ostta01g04410	55	86	72	60	51	41
ostta01g04420	1488	4111	2279	7347	5638	7978
ostta01g04430	139	263	212	192	214	208
ostta01g04440	1130	1853	1858	1763	1665	1510
ostta01g04450	132	220	171	259	244	316
ostta01g04460	769	1751	903	1581	1565	821
ostta01g04470	117	296	86	142	131	213
ostta01g04480	804	1850	1046	1513	1775	5380
ostta01g04490	146	312	140	113	45	107
ostta01g04500	32	88	52	103	100	36
ostta01g04510	166	374	237	347	216	27
ostta01g04520	212	445	236	267	279	321
ostta01g04530	124	247	204	235	202	207
ostta01g04540	6	6	1	8	1	2
ostta01g04550	246	482	195	343	330	216
ostta01g04560	2402	7081	2826	2782	3162	3258
ostta01g04570	66	147	53	159	121	7
ostta01g04580	145	262	110	225	186	16
ostta01g04585	235	374	300	266	208	456
ostta01g04590	0	6	3	0	4	1
ostta01g04600	1786	5116	1813	2144	1882	1008
ostta01g04610	206	568	210	312	310	151
ostta01g04620	153	329	136	157	142	88
ostta01g04630	354	769	390	298	193	905
ostta01g04640	1	1	1	1	0	0
ostta01g04650	1	2	2	0	0	0
ostta01g04660	591	1430	522	495	325	526
ostta01g04670	19	23	23	27	12	42
ostta01g04680	73	190	86	129	174	104
ostta01g04690	3	6	7	16	2	10
ostta01g04700	78	197	62	126	150	109
ostta01g04710	84	179	94	116	78	14
ostta01g04720	395	887	592	616	366	110
ostta01g04730	76	92	111	84	103	61
ostta01g04740	76	169	76	73	87	65
ostta01g04750	109	243	125	218	86	48
ostta01g04760	32	54	35	44	16	0
ostta01g04770	72	107	53	83	55	47
ostta01g04780	46	75	42	105	55	130
ostta01g04790	875	2339	798	1555	1532	831
ostta01g04800	254	464	195	460	310	65
ostta01g04810	112	248	168	207	133	72
ostta01g04820	40	86	48	67	75	83
ostta01g04830	43	91	63	69	37	50
ostta01g04840	112	173	86	140	96	9
ostta01g04850	191	376	168	247	224	248
ostta01g04860	374	668	490	728	451	420
ostta01g04870	464	978	683	746	642	1031
ostta01g04880	91	160	112	173	161	81
ostta01g04890	60	133	54	109	87	25
ostta01g04900	498	945	555	889	854	646
ostta01g04910	1	3	3	1	1	2
ostta01g04920	2435	5271	3332	3160	2808	3560
ostta01g04930	19	25	39	33	25	23
ostta01g04940	594	1206	815	745	617	2940
ostta01g04950	707	1347	743	917	879	647
ostta01g04960	131	219	149	162	132	109
ostta01g04970	630	1237	611	1354	1329	889
ostta01g04980	140	313	152	141	131	7
ostta01g04990	36	53	27	38	18	27
ostta01g05000	111	206	93	151	109	113
ostta01g05005	474	804	677	776	602	422
ostta01g05010	57	131	59	87	107	20
ostta01g05020	2404	5376	2244	3285	3331	3601
ostta01g05030	371	1336	336	463	571	596
ostta01g05040	190	399	200	423	302	262
ostta01g05050	203	367	311	273	305	320
ostta01g05060	363	754	485	692	634	625
ostta01g05070	1440	4460	1128	1920	1799	2954
ostta01g05080	57	143	84	86	77	100
ostta01g05090	527	1108	625	1050	1060	548
ostta01g05100	314	598	447	152	142	170
ostta01g05110	110	208	95	54	29	6
ostta01g05120	210	574	192	497	265	177
ostta01g05130	68	193	72	108	95	71
ostta01g05140	1	5	0	1	0	0
ostta01g05150	43	89	87	107	122	41
ostta01g05155	56	122	55	98	74	48
ostta01g05160	3	2	4	9	3	3
ostta01g05170	115	255	97	153	149	188
ostta01g05180	192	477	188	165	147	11
ostta01g05190	77	216	61	155	172	88
ostta01g05200	254	483	266	417	390	440
ostta01g05210	430	858	557	252	188	373
ostta01g05220	258	483	279	315	305	181
ostta01g05230	245	574	331	325	203	22
ostta01g05240	665	1999	729	1067	945	810
ostta01g05250	258	532	280	421	377	301
ostta01g05260	991	2217	1069	969	747	602
ostta01g05270	30	75	32	9	25	38
ostta01g05280	191	397	179	225	201	200
ostta01g05290	218	499	322	265	231	493
ostta01g05300	333	671	361	476	429	569
ostta01g05310	1666	3511	1225	4115	4170	4002
ostta01g05320	346	523	481	479	435	351
ostta01g05330	24	31	28	50	25	26
ostta01g05340	992	2115	1008	2210	1983	1604
ostta01g05350	584	1167	530	1114	714	824
ostta01g05360	120	239	216	189	201	41
ostta01g05380	64	146	92	85	100	91
ostta01g05390	284	469	347	508	356	232
ostta01g05400	263	600	411	546	433	305
ostta01g05410	222	531	198	386	389	345
ostta01g05420	211	397	205	356	298	161
ostta01g05430	353	765	356	534	484	354
ostta01g05440	866	1943	723	1422	1223	496
ostta01g05450	222	445	249	430	334	226
ostta01g05460	283	562	278	470	457	354
ostta01g05470	216	410	174	199	131	31
ostta01g05480	42	78	63	74	44	22
ostta01g05490	339	802	402	393	344	372
ostta01g05500	22	63	26	21	10	26
ostta01g05510	1501	3043	1845	2521	2141	2110
ostta01g05520	70	134	182	109	116	69
ostta01g05540	108	136	101	149	142	105
ostta01g05550	307	698	288	421	289	638
ostta01g05560	637	1150	636	1090	972	835
ostta01g05570	0	5	0	1	0	5
ostta01g05580	468	1116	569	526	565	205
ostta01g05590	1244	2959	1362	1435	1108	1018
ostta01g05600	345	1076	232	339	364	308
ostta01g05610	203	524	190	330	209	148
ostta01g05620	250	752	241	234	236	27
ostta01g05630	274	717	251	317	337	226
ostta01g05640	321	588	344	325	242	221
ostta01g05650	1058	1939	1702	2007	1612	846
ostta01g05660	39	78	91	69	46	26
ostta01g05670	122	215	161	167	189	111
ostta01g05680	126	349	138	163	166	174
ostta01g05690	232	505	215	227	220	1959
ostta01g05700	165	382	170	215	173	213
ostta01g05710	275	449	213	316	235	211
ostta01g05720	197	489	216	307	319	234
ostta01g05730	8	36	16	39	25	13
ostta01g05740	108	177	113	175	155	65
ostta01g05750	132	347	163	210	136	9
ostta01g05760	15	16	8	6	11	2
ostta01g05770	686	1830	720	1251	1495	1553
ostta01g05780	150	367	183	239	186	260
ostta01g05790	1446	4032	1354	1613	1802	4010
ostta01g05800	45	66	65	97	66	69
ostta01g05810	58	135	77	183	112	37
ostta01g05820	64	188	50	99	104	111
ostta01g05830	39	75	48	57	52	47
ostta01g05840	62	160	66	75	89	37
ostta01g05850	73	153	103	141	111	101
ostta01g05860	60	144	79	107	114	64
ostta01g05870	247	698	314	360	333	156
ostta01g05880	410	642	442	458	332	248
ostta01g05890	97	224	76	124	90	76
ostta01g05900	60	144	49	124	92	63
ostta01g05910	79	191	62	107	144	166
ostta01g05920	1239	2762	1058	2257	2038	812
ostta01g05930	49	132	71	96	91	84
ostta01g05940	565	1294	553	657	638	449
ostta01g05950	156	322	111	343	237	253
ostta01g05960	1492	4824	1290	2065	2330	2858
ostta01g05970	81	146	55	111	105	44
ostta01g05980	85	175	155	123	121	73
ostta01g05990	718	1542	798	924	684	942
