CondA_SRR3105699	CondA_SRR3105698	CondA_SRR3105697	CondB_SRR3099587	CondB_SRR3099586	CondB_SRR3099585
ostta14g00860	383	809	367	547	504	311
ostta14g00870	238	420	222	285	315	169
ostta14g00880	102	215	137	205	94	111
ostta14g00890	24	65	28	70	69	7
ostta14g00900	65	124	85	123	86	2
ostta14g00910	65	114	54	89	51	47
ostta14g00920	533	1555	527	477	464	546
ostta14g00930	246	559	307	287	180	77
ostta14g00940	721	2070	543	336	288	17
ostta14g00950	128	277	86	172	215	202
ostta14g00960	127	255	150	208	198	116
ostta14g00970	5	3	3	6	1	0
ostta14g00980	141	294	183	292	289	245
ostta14g00990	144	322	145	182	106	15
ostta14g01000	160	340	117	250	253	124
ostta14g01010	196	375	225	338	243	221
ostta14g01020	160	314	105	314	142	122
ostta14g01030	73	246	93	144	131	130
ostta14g01040	4188	9626	3597	4414	3542	6667
ostta14g01050	197	452	173	168	186	130
ostta14g01060	201	443	349	156	92	133
ostta14g01070	102	205	110	73	32	120
ostta14g01075	26	63	23	11	25	31
ostta14g01080	259	595	255	377	225	186
ostta14g01090	36	73	41	59	60	49
ostta14g01100	101	227	88	161	103	56
ostta14g01105	41	93	53	74	62	26
ostta14g01110	185	497	152	152	92	7
ostta14g01120	158	291	287	290	287	164
ostta14g01130	5	14	17	2	9	9
ostta14g01140	1103	2830	909	2471	2774	2168
ostta14g01150	211	534	160	270	270	275
ostta14g01155	20	107	37	24	36	62
ostta14g01157	205	455	202	351	332	173
ostta14g01160	727	1602	649	1030	921	741
ostta14g01170	261	494	291	220	148	207
ostta14g01180	78	156	72	79	55	48
ostta14g01190	26	58	31	48	32	17
ostta14g01200	281	579	305	415	468	612
ostta14g01210	55	188	66	58	81	81
ostta14g01220	1623	2745	2209	4393	3725	3284
ostta14g01230	708	1557	632	895	768	393
ostta14g01240	205	467	185	322	242	187
ostta14g01245	5	20	2	12	28	13
ostta14g01250	105	280	77	126	118	74
ostta14g01260	40	47	30	46	47	53
ostta14g01270	1239	2742	1474	2025	1830	1336
ostta14g01280	380	947	391	864	814	823
ostta14g01290	116	304	118	227	125	80
ostta14g01300	33	61	20	39	25	25
ostta14g01310	160	414	100	255	175	20
ostta14g01320	300	710	232	450	438	490
ostta14g01330	50	133	57	90	64	52
ostta14g01340	68	110	74	119	109	14
ostta14g01345	5	6	8	2	0	1
ostta14g01350	194	529	192	326	254	40
ostta14g01355	34	63	54	57	72	33
ostta14g01360	118	206	153	193	162	108
ostta14g01365	37	73	23	34	42	24
ostta14g01370	102	233	103	119	106	60
ostta14g01380	283	605	398	389	341	375
ostta14g01385	77	134	127	115	94	35
ostta14g01387	66	176	112	123	97	62
ostta14g01388	54	90	84	82	82	70
ostta14g01390	158	297	250	326	244	211
ostta14g01400	63	137	45	133	105	19
ostta14g01410	389	879	406	530	504	387
ostta14g01420	421	1146	361	400	412	226
ostta14g01430	54	112	54	94	47	57
ostta14g01435	34	55	54	47	66	22
ostta14g01440	1015	2311	777	1254	1088	1110
ostta14g01450	114	339	102	198	197	148
ostta14g01460	19	52	25	41	41	17
ostta14g01470	493	1261	460	615	579	20
ostta14g01480	353	664	326	411	448	433
ostta14g01485	19	40	36	12	1	0
ostta14g01490	514	1091	553	895	699	421
ostta14g01500	0	0	0	0	0	0
ostta14g01510	6	24	17	12	16	13
ostta14g01520	3302	7828	2279	3044	2737	1887
ostta14g01530	0	6	2	4	0	0
ostta14g01540	217	392	307	319	260	157
ostta14g01550	90	184	104	141	135	130
ostta14g01555	26	55	40	30	32	3
ostta14g01570	85	246	108	154	157	154
ostta14g01580	223	502	274	403	363	238
ostta14g01590	79	183	92	106	83	90
ostta14g01600	843	2058	886	1322	1213	1664
ostta14g01610	127	250	125	78	104	33
ostta14g01620	163	333	211	116	74	38
ostta14g01630	105	244	109	248	194	45
ostta14g01635	25	53	22	37	48	13
ostta14g01640	141	241	161	181	135	84
ostta14g01650	1132	2983	1356	1847	1640	1570
ostta14g01660	102	171	77	140	111	57
ostta14g01665	391	852	378	604	623	483
ostta14g01670	314	800	234	558	535	81
ostta14g01680	137	429	154	117	99	73
ostta14g01690	473	1082	519	949	795	866
ostta14g01695	60	120	98	156	119	71
ostta14g01700	105	148	197	181	157	105
ostta14g01710	25	65	27	26	46	31
ostta14g01720	265	514	307	499	413	363
ostta14g01730	107	213	107	136	121	97
ostta14g01740	243	584	207	239	231	136
ostta14g01750	311	671	241	487	268	233
ostta14g01760	62	86	87	8	6	12
ostta14g01770	260	498	388	165	170	800
ostta14g01780	168	230	203	149	155	151
ostta14g01790	1	1	0	1	1	0
ostta14g01800	0	0	0	0	0	0
ostta14g01810	103	246	109	108	115	42
ostta14g01820	33	54	47	82	58	75
ostta14g01830	336	678	291	506	494	402
ostta14g01840	231	523	258	257	242	144
ostta14g01850	424	674	775	512	540	561
ostta14g01860	182	314	162	297	164	127
ostta14g01870	397	843	513	612	477	345
ostta14g01880	46	105	53	97	66	51
ostta14g01890	8839	21621	10102	29985	23620	26159
ostta14g01900	5061	14948	4214	4754	4191	7705
ostta14g01910	54	96	88	64	54	25
ostta14g01920	778	1544	978	1243	822	797
ostta14g01930	165	323	245	83	76	17
ostta14g01940	240	453	329	333	486	248
ostta14g01950	71	151	92	134	55	44
ostta14g01960	145	318	160	147	99	72
ostta14g01970	11	30	21	24	18	14
ostta14g01980	36	74	48	48	47	74
ostta14g01990	1113	1937	1484	2013	2027	2571
ostta14g02000	147	434	193	258	224	157
ostta14g02010	79	212	74	164	117	142
ostta14g02020	19	49	22	34	14	31
ostta14g02030	48	85	48	75	67	85
ostta14g02040	77	192	70	140	99	24
ostta14g02050	665	1687	824	1132	858	161
ostta14g02070	186	421	181	210	190	48
ostta14g02080	41	71	64	77	37	8
ostta14g02090	8	8	7	4	12	13
ostta14g02100	76	174	102	136	112	91
ostta14g02110	364	691	381	399	387	425
ostta14g02120	70	163	63	153	102	114
ostta14g02130	98	223	125	129	168	129
ostta14g02140	53	91	90	25	24	114
ostta14g02150	2120	4995	1807	1788	1433	1301
ostta14g02160	27	58	36	38	35	48
ostta14g02170	176	357	285	236	161	163
ostta14g02180	187	428	149	110	86	350
ostta14g02190	925	1823	1133	1142	796	15
ostta14g02197	61	146	57	80	80	61
ostta14g02200	32	56	37	37	23	19
ostta14g02210	280	793	229	346	353	175
ostta14g02220	31	69	31	70	67	28
ostta14g02230	53	99	66	109	79	68
ostta14g02235	223	362	218	400	259	220
ostta14g02240	431	1170	341	376	249	18
ostta14g02250	95	159	135	111	73	57
ostta14g02260	1421	3229	1895	2061	2242	1935
ostta14g02270	80	116	131	180	158	110
ostta14g02280	190	448	184	300	267	358
ostta14g02290	917	1591	1022	1892	1437	1044
ostta14g02300	52	71	61	79	49	30
ostta14g02310	1463	2965	1846	1635	1273	887
ostta14g02320	30	54	29	52	45	27
ostta14g02330	30	72	42	79	74	86
ostta14g02340	84	136	79	123	102	95
ostta14g02345	167	337	247	278	230	193
ostta14g02350	142	400	132	233	247	153
ostta14g02360	324	822	390	652	514	435
ostta14g02370	5	8	5	4	6	3
ostta14g02380	133	245	98	165	147	111
ostta14g02390	41	69	38	67	40	129
ostta14g02400	383	696	586	606	461	399
ostta14g02410	53	93	84	56	22	53
ostta14g02420	4184	8715	4260	6026	5523	11268
ostta14g02430	159	429	141	143	164	178
ostta14g02440	325	707	416	203	221	309
ostta14g02450	135	236	167	123	136	432
ostta14g02460	28	51	27	52	29	1
ostta14g02470	146	389	180	185	113	55
ostta14g02475	56	111	90	114	57	37
ostta14g02480	99	202	77	95	78	99
ostta14g02490	53	120	62	63	45	3
ostta14g02495	62	133	91	86	126	7
ostta14g02500	49	99	53	86	81	58
ostta14g02510	76	152	108	131	116	16
ostta14g02520	109	276	138	170	102	8
ostta14g02530	394	934	497	1058	1066	811
ostta14g02540	506	1254	512	914	643	995
ostta14g02550	120	331	133	189	85	7
ostta14g02560	4	1	0	0	0	1
ostta14g02570	36	77	30	53	41	58
ostta14g02580	217	530	290	529	365	109
ostta14g02590	50	126	108	103	77	42
ostta14g02600	266	882	293	286	447	508
ostta14g02610	63	145	67	140	75	115
ostta14g02620	125	206	110	169	110	94
ostta14g02630	3058	6478	4227	3798	3126	9540
ostta14g02635	42	108	42	62	58	4
ostta14g02640	42	78	51	59	64	21
ostta14g02650	148	462	194	242	186	203
ostta14g02660	123	257	113	184	205	161
ostta14g02670	225	549	289	454	398	324
ostta14g02680	212	576	338	365	334	277
ostta14g02690	11	12	17	10	18	21
ostta14g02695	8	19	9	1	17	23
ostta14g02700	342	772	493	548	553	394
ostta14g02710	38	74	47	55	38	4
ostta14g02720	229	583	204	369	321	263
ostta14g02730	129	331	225	272	231	139
ostta14g02740	1199	3428	1192	1410	1708	2021
ostta14g02750	184	515	220	252	259	216
ostta14g02760	23	20	46	34	27	20
ostta14g02770	1904	3728	2626	2540	1433	782
ostta14g02775	52	129	92	48	51	61
ostta14g02780	7	7	7	0	1	0
ostta14g02790	135	231	123	320	358	303
ostta14g02795	33	42	39	44	40	25
ostta14g02800	120	361	128	270	208	187
ostta14g02810	157	523	180	173	202	89
ostta14g02820	15	18	15	27	21	15
ostta14g02830	113	195	142	205	184	88
ostta14g02840	160	491	177	418	385	30
ostta14g02845	123	259	103	156	75	8
ostta14g02850	424	927	309	355	395	508
ostta14g02860	107	188	114	215	180	45
ostta14g02870	51	115	88	132	103	62
ostta14g02880	260	543	313	371	205	139
ostta14g02890	186	364	283	334	305	187
ostta14g02900	175	491	196	296	269	253
ostta14g02910	9	11	6	9	16	6
ostta14g02920	116	260	139	157	219	199
ostta14g02930	483	890	433	664	565	584
ostta14g02935	63	141	129	97	94	33
ostta14g02940	140	306	271	217	152	15
ostta14g02945	357	598	620	612	508	442
ostta14g02950	157	379	157	248	210	218
ostta14g02960	197	486	174	342	327	130
ostta14g02970	237	500	222	138	117	378
ostta14g02980	261	455	230	495	486	406
ostta14g02990	0	2	0	0	1	0
ostta14g03000	50	92	35	91	49	38
ostta14g03010	606	1415	534	810	847	607
ostta14g03020	116	187	187	188	164	167
ostta14g03030	601	1317	665	1462	1467	1317
ostta14g03040	195	484	322	451	327	266
ostta14g03050	280	626	269	398	362	305
ostta14g03060	337	637	334	174	140	412
ostta14g03070	884	1651	1244	1236	1137	1075
ostta14g03080	78	206	96	73	113	1583
ostta15g00010	48	118	63	106	117	61
ostta15g00020	144	308	164	258	272	195
ostta15g00030	159	345	133	225	157	153
ostta15g00035	35	69	49	72	59	8
ostta15g00040	247	598	263	184	201	173
ostta15g00045	671	1229	1024	955	767	397
ostta15g00050	121	236	133	196	105	85
ostta15g00060	472	1081	583	1015	779	204
ostta15g00070	288	936	293	364	435	147
ostta15g00080	34	70	38	72	35	36
ostta15g00090	145	261	127	224	189	212
ostta15g00100	3	2	0	1	3	2
ostta15g00110	6	25	8	0	2	2
ostta15g00120	42	122	64	32	76	46
ostta15g00130	574	1244	582	777	625	422
ostta15g00140	182	362	152	220	106	87
ostta15g00150	705	1278	887	570	376	297
ostta15g00160	25	35	26	22	19	26
ostta15g00170	366	678	353	504	494	635
ostta15g00180	359	648	308	410	402	740
ostta15g00190	150	444	179	218	210	180
ostta15g00195	250	445	284	305	312	356
ostta15g00200	300	565	349	436	469	336
ostta15g00210	17	29	20	29	22	6
ostta15g00220	2	9	9	0	1	4
ostta15g00230	407	978	544	600	618	573
ostta15g00240	450	846	405	580	517	394
ostta15g00250	505	1037	323	690	617	377
ostta15g00260	73	219	63	77	80	71
ostta15g00270	18	24	20	27	32	13
ostta15g00280	304	918	429	307	643	591
ostta15g00290	35	77	50	48	44	23
ostta15g00300	249	671	298	388	367	313
ostta15g00310	136	269	131	192	240	146
ostta15g00320	18	41	32	19	48	24
ostta15g00330	175	437	162	247	227	245
ostta15g00340	370	919	317	399	382	147
ostta15g00350	1030	2061	1352	1717	1334	620
ostta15g00360	87	134	111	150	52	26
ostta15g00370	3	7	3	2	0	0
ostta15g00375	109	252	121	175	113	2
ostta15g00380	135	262	150	195	145	120
ostta15g00390	259	670	344	100	98	199
ostta15g00400	83	191	84	100	95	85
ostta15g00405	70	175	70	108	96	12
ostta15g00410	104	285	135	158	134	19
ostta15g00420	513	931	631	815	765	512
ostta15g00430	111	257	132	124	107	71
ostta15g00440	38	86	53	107	166	77
ostta15g00450	157	363	141	141	158	148
ostta15g00460	69	124	77	136	132	79
ostta15g00470	154	244	192	186	109	110
ostta15g00480	1972	5790	2416	3682	4602	4786
ostta15g00485	774	1854	1051	1251	953	829
ostta15g00490	93	282	118	111	106	129
ostta15g00500	67	105	59	69	33	144
ostta15g00510	771	1528	911	1272	1386	1399
ostta15g00530	98	189	114	136	96	105
ostta15g00540	302	502	444	328	254	72
ostta15g00560	227	461	231	280	268	288
ostta15g00570	125	334	159	159	161	96
ostta15g00575	189	301	245	270	234	188
ostta15g00580	241	424	236	308	312	103
ostta15g00590	155	361	204	337	268	267
ostta15g00600	136	256	118	170	154	117
ostta15g00610	742	1927	836	1229	937	113
ostta15g00620	367	792	305	402	288	106
ostta15g00630	488	1486	521	509	541	313
ostta15g00640	1531	3786	1127	664	477	1168
ostta15g00650	734	1273	988	1147	1070	772
ostta15g00660	27	44	43	52	13	3
ostta15g00670	593	1176	475	1036	634	136
ostta15g00680	112	229	94	118	142	493
ostta15g00690	1497	2969	1612	2796	2382	4751
ostta15g00700	263	602	294	254	289	127
ostta15g00710	2	12	5	5	6	9
ostta15g00720	0	0	0	0	0	0
ostta15g00730	110	296	93	196	244	175
ostta15g00740	99	224	71	119	89	10
ostta15g00750	344	736	369	598	339	331
ostta15g00760	130	456	132	215	236	115
ostta15g00765	59	117	78	77	71	44
ostta15g00770	51	83	46	49	62	52
ostta15g00780	25	26	19	26	22	11
ostta15g00790	133	312	131	174	170	149
ostta15g00800	1134	2046	1513	1305	1063	409
ostta15g00810	64	129	61	124	154	273
ostta15g00820	67	146	55	97	88	219
ostta15g00830	1845	4326	1709	4306	4347	1307
ostta15g00840	3615	7877	4536	7668	7478	9316
ostta15g00850	167	457	232	365	313	247
ostta15g00860	68	116	70	108	106	22
ostta15g00870	37	64	43	55	41	31
ostta15g00880	73	122	53	55	63	51
ostta15g00890	830	1854	891	1231	1197	1196
ostta15g00900	483	1043	501	376	291	1924
ostta15g00910	37	123	52	81	81	66
ostta15g00920	7	20	5	7	0	0
ostta15g00930	326	666	254	252	233	171
ostta15g00940	125	307	162	167	155	124
ostta15g00950	390	891	382	466	434	312
ostta15g00955	965	1895	1100	416	332	1253
ostta15g00960	55	55	44	47	38	51
ostta15g00970	7	10	3	12	18	9
ostta15g00980	113	256	93	164	128	69
ostta15g00990	538	944	803	738	564	1564
ostta15g01000	82	246	85	102	126	34
ostta15g01010	202	502	151	330	190	31
ostta15g01020	28	50	39	46	31	35
ostta15g01030	69	201	103	81	154	99
ostta15g01040	240	404	223	316	243	179
ostta15g01050	281	638	423	436	392	377
ostta15g01060	377	737	574	346	303	119
ostta15g01070	11	27	12	6	2	4
ostta15g01075	40	83	46	124	73	54
ostta15g01080	178	418	212	87	77	77
ostta15g01090	1656	3537	1267	868	893	614
ostta15g01100	139	367	121	174	158	89
ostta15g01105	37	87	51	37	46	40
ostta15g01110	441	1225	377	768	947	321
ostta15g01120	15	21	7	12	16	0
ostta15g01130	63	113	102	79	81	48
ostta15g01140	690	1527	902	905	855	752
ostta15g01150	738	1857	609	1460	1400	1560
ostta15g01160	1726	3264	2365	1643	1308	1292
ostta15g01170	86	130	123	94	100	63
ostta15g01180	1012	1874	1362	1159	687	399
ostta15g01190	75	87	96	99	109	58
ostta15g01200	353	935	393	590	599	623
ostta15g01210	204	447	225	260	192	589
ostta15g01220	66	140	58	101	81	83
ostta15g01230	60	107	60	76	45	183
ostta15g01240	123	257	124	160	182	115
ostta15g01250	122	267	91	174	137	106
ostta15g01260	298	800	206	376	424	147
ostta15g01265	97	160	128	200	178	159
ostta15g01270	1	2	2	2	1	0
ostta15g01280	282	423	376	277	260	1511
ostta15g01290	175	348	168	278	287	219
ostta15g01300	242	530	252	208	155	13
ostta15g01310	50	113	37	91	64	23
ostta15g01320	480	1126	598	834	900	571
ostta15g01325	31	51	33	40	37	25
ostta15g01330	59	187	87	181	139	84
ostta15g01340	133	311	157	205	158	129
ostta15g01350	437	901	457	713	664	564
ostta15g01360	36	73	57	61	61	52
ostta15g01370	36	73	50	44	29	14
ostta15g01380	182	354	211	153	131	195
ostta15g01390	31	58	42	15	45	22
ostta15g01400	167	422	174	241	160	150
ostta15g01410	30	57	29	59	56	63
ostta15g01420	926	2605	976	1134	1198	706
ostta15g01430	4	5	9	2	2	0
ostta15g01440	141	325	282	393	340	185
ostta15g01450	103	229	120	109	126	75
ostta15g01460	262	659	229	347	363	403
ostta15g01470	88	167	53	39	23	707
ostta15g01480	427	1189	399	242	231	316
ostta15g01490	890	1804	765	1513	1628	1791
ostta15g01495	11	25	16	17	18	22
ostta15g01500	55	83	45	85	69	46
ostta15g01510	1375	2252	1560	2692	2214	1479
ostta15g01520	1275	4198	1421	1960	1672	697
ostta15g01530	71	119	50	124	84	61
ostta15g01540	59	119	85	89	63	23
ostta15g01550	109	255	105	217	178	112
ostta15g01560	355	1080	384	318	263	43
ostta15g01570	285	590	220	383	323	107
ostta15g01580	34	61	34	69	45	29
ostta15g01590	427	906	636	446	324	108
ostta15g01610	238	449	245	80	52	17
ostta15g01620	24	40	37	57	40	5
ostta15g01630	211	456	217	249	218	121
ostta15g01640	52	90	52	73	58	30
ostta15g01650	42	48	36	47	56	34
ostta15g01660	5	17	5	8	5	3
ostta15g01670	32	61	29	26	13	42
ostta15g01680	36	51	30	40	43	47
ostta15g01690	123	280	203	276	218	148
ostta15g01700	327	696	317	431	421	336
ostta15g01710	529	1405	699	595	345	569
ostta15g01720	45	97	92	95	92	53
ostta15g01730	222	581	176	263	229	132
ostta15g01735	39	43	42	53	27	15
ostta15g01740	204	520	209	334	311	98
ostta15g01750	136	306	88	59	52	6
ostta15g01760	129	228	131	213	166	64
ostta15g01770	1427	4011	1290	2711	1993	2390
ostta15g01780	101	181	97	180	141	143
ostta15g01790	116	171	65	128	43	19
ostta15g01800	0	0	0	0	0	0
ostta15g01810	230	541	217	166	173	132
ostta15g01820	299	758	370	559	553	260
ostta15g01830	529	1200	532	533	419	232
ostta15g01840	103	247	118	56	25	17
ostta15g01850	169	315	152	159	132	784
ostta15g01860	124	138	125	210	141	124
ostta15g01870	18	37	19	28	26	28
ostta15g01880	36	67	38	68	40	6
ostta15g01890	132	313	164	198	127	564
ostta15g01900	59	106	92	72	84	75
ostta15g01910	0	0	3	0	0	0
ostta15g01920	99	204	76	115	54	156
ostta15g01930	87	190	84	147	87	54
ostta15g01940	30	53	63	59	42	11
ostta15g01950	1387	3330	1674	1425	1484	683
ostta15g01960	148	313	133	157	111	78
ostta15g01970	618	1290	587	1000	780	673
ostta15g01980	84	175	67	93	102	50
ostta15g01990	80	94	100	161	108	50
ostta15g02000	71	102	109	121	112	69
ostta15g02010	649	1142	592	808	430	244
ostta15g02020	525	1105	706	656	595	671
ostta15g02030	160	317	155	339	214	224
ostta15g02040	149	259	154	274	265	227
ostta15g02050	277	592	299	546	493	382
ostta15g02060	79	160	58	109	74	12
ostta15g02070	69	124	74	192	182	60
ostta15g02080	19	19	18	30	26	15
ostta15g02090	193	377	286	250	228	285
ostta15g02100	266	472	380	367	344	187
ostta15g02110	41	53	78	55	71	56
ostta15g02120	92	153	71	82	64	72
ostta15g02130	1013	2075	996	1256	1055	1599
ostta15g02140	69	111	100	106	80	97
ostta15g02150	32	80	50	75	55	60
ostta15g02160	175	344	170	327	211	207
ostta15g02170	888	1770	806	1222	1286	1700
ostta15g02180	129	231	118	170	157	172
ostta15g02190	0	0	0	0	0	0
ostta15g02200	341	576	391	198	155	302
ostta15g02207	0	2	0	0	0	0
ostta15g02210	91	221	140	143	122	125
ostta15g02220	162	408	180	288	140	10
ostta15g02230	75	176	76	82	51	12
ostta15g02235	85	150	100	162	152	99
ostta15g02240	86	228	85	113	67	57
ostta15g02250	163	368	149	187	186	46
ostta15g02260	1037	2568	1092	1811	1816	1767
ostta15g02270	26	38	34	36	42	23
ostta15g02280	60	120	62	65	56	37
ostta15g02290	284	397	353	286	226	148
ostta15g02300	102	224	118	120	116	115
ostta15g02310	201	463	172	230	167	533
ostta15g02320	142	298	148	141	139	9
ostta15g02325	297	589	311	359	276	120
ostta15g02330	127	316	131	181	182	112
ostta15g02340	286	613	288	518	434	373
ostta15g02350	485	1349	538	734	739	172
ostta15g02360	145	342	175	180	137	86
ostta15g02370	321	872	260	354	411	333
ostta15g02380	74	160	88	93	85	64
ostta15g02385	16	54	23	77	82	14
ostta15g02390	45	101	32	47	66	68
ostta15g02400	542	1566	579	1140	1124	301
ostta15g02410	502	1325	643	979	936	559
ostta15g02420	32	62	30	38	64	48
ostta15g02430	176	353	249	276	345	184
ostta15g02440	184	343	252	322	310	218
ostta15g02450	242	492	241	285	289	174
ostta15g02455	221	392	319	197	134	75
ostta15g02460	50	211	71	96	100	26
ostta15g02470	80	217	70	164	152	106
ostta15g02475	47	80	41	75	47	21
ostta15g02480	257	503	348	607	363	196
ostta15g02490	56	132	75	90	68	37
ostta15g02500	62	96	64	78	52	46
ostta15g02510	709	1709	557	1307	1226	1313
ostta15g02520	565	1172	578	240	311	2237
ostta15g02530	29	47	46	56	38	9
ostta15g02540	514	1916	414	900	817	960
ostta15g02550	248	615	315	389	310	204
ostta15g02555	49	146	44	124	128	110
ostta15g02560	128	283	159	92	72	21
ostta15g02570	308	880	255	446	345	33
ostta15g02580	0	0	0	0	0	0
ostta15g02590	0	0	0	0	0	0
ostta15g02620	44	95	53	57	68	61
ostta15g02630	97	196	107	128	136	92
ostta15g02640	53	109	72	89	74	68
ostta15g02650	983	3260	745	1375	911	930
ostta15g02660	148	394	135	157	105	19
ostta15g02670	804	1550	995	1309	1071	2615
ostta15g02680	1076	2314	1100	1258	1279	5503
ostta15g02690	116	238	132	171	165	82
ostta15g02700	119	194	160	97	121	58
ostta15g02710	70	195	52	61	44	4
ostta15g02720	0	3	1	0	0	0
ostta15g02730	806	1786	777	1580	1225	668
ostta15g02740	2	11	4	7	1	0
ostta15g02750	2518	5292	2996	6211	5413	847
ostta15g02760	467	759	496	726	475	436
ostta15g02770	5	23	31	16	23	39
ostta15g02780	49	88	62	69	64	74
ostta15g02790	155	300	151	223	174	206
ostta15g02795	72	162	164	164	103	76
ostta15g02800	70	142	82	91	77	30
ostta15g02805	60	113	101	131	159	107
ostta15g02810	1441	3167	1874	2065	1750	2369
ostta15g02820	343	758	274	627	470	412
ostta15g02830	170	348	150	328	307	260
ostta15g02840	562	1506	517	539	632	686
ostta15g02850	665	1768	596	821	754	403
ostta15g02860	740	1677	785	758	827	1283
ostta15g02870	636	1072	801	785	595	511
ostta15g02875	55	115	129	115	58	25
ostta15g02880	39	88	53	76	49	28
ostta15g02890	267	630	234	391	316	376
ostta15g02900	989	1879	1036	1245	1041	2129
ostta15g02905	21	42	22	39	28	15
ostta15g02910	237	487	223	397	279	229
ostta15g02920	1071	2136	1392	1860	2109	2212
ostta15g02930	186	453	273	281	280	191
ostta16g00010	0	0	3	0	0	0
ostta16g00020	520	1176	498	440	555	504
ostta16g00030	241	523	284	362	362	74
ostta16g00040	1712	3357	1866	3143	3750	4015
ostta16g00050	310	697	411	391	314	318
ostta16g00060	411	712	670	629	365	292
ostta16g00070	935	1799	1665	1415	881	460
ostta16g00080	378	713	489	382	224	259
ostta16g00090	344	540	337	336	314	243
ostta16g00100	429	863	601	561	563	260
ostta16g00110	46	78	82	49	51	22
ostta16g00120	285	661	394	476	186	126
ostta16g00130	1615	3310	2188	3108	1895	1228
ostta16g00140	788	1610	866	1095	782	44
ostta16g00150	3	10	6	2	3	0
ostta16g00160	44	88	52	77	75	83
ostta16g00170	36	36	56	37	38	2
ostta16g00180	106	177	87	175	153	127
ostta16g00190	106	264	184	201	156	143
ostta16g00200	188	379	253	416	263	66
ostta16g00210	472	946	383	603	467	73
ostta16g00220	931	1760	1195	751	802	698
ostta16g00230	110	217	106	182	116	91
ostta16g00240	111	211	94	130	76	51
ostta16g00250	306	713	327	517	354	203
ostta16g00260	21	27	36	18	8	3
ostta16g00270	62	148	52	98	83	24
ostta16g00280	46	115	97	78	90	88
ostta16g00290	532	923	795	716	667	720
ostta16g00300	1113	2479	1136	1516	1627	1628
ostta16g00310	74	94	78	115	142	107
ostta16g00320	104	167	116	155	111	113
ostta16g00330	309	641	421	311	190	269
ostta16g00340	1140	2644	1126	2052	1996	2419
ostta16g00350	312	628	291	527	332	386
ostta16g00360	150	235	124	197	132	101
ostta16g00370	106	193	165	150	169	61
ostta16g00380	488	1026	544	841	844	653
ostta16g00390	86	134	177	156	145	58
ostta16g00400	286	797	292	292	345	234
ostta16g00405	304	588	366	396	212	178
ostta16g00410	82	99	130	23	26	9
ostta16g00420	1200	2091	1728	1231	839	2154
ostta16g00430	1867	4456	2426	2728	2464	1471
ostta16g00440	366	1294	397	209	138	172
ostta16g00450	4264	8085	5123	7039	2992	10601
ostta16g00460	1877	4785	1587	2954	3657	4143
ostta16g00470	139	315	172	207	211	122
ostta16g00480	319	638	400	285	182	52
ostta16g00490	89	139	85	80	74	141
ostta16g00500	65	163	85	72	36	2
ostta16g00510	3	6	3	0	3	0
ostta16g00515	183	351	197	84	74	30
ostta16g00520	466	1424	503	541	566	365
ostta16g00530	891	1593	1249	960	537	400
ostta16g00540	47	92	50	100	56	6
ostta16g00545	109	199	200	235	197	114
ostta16g00550	310	722	398	364	337	77
ostta16g00560	976	1899	1131	1459	1226	732
ostta16g00570	180	279	174	229	113	102
ostta16g00580	249	566	262	423	224	188
ostta16g00590	149	271	156	205	180	246
ostta16g00600	948	2629	837	928	1080	568
ostta16g00610	445	1011	443	262	158	17
ostta16g00620	90	155	69	151	177	57
ostta16g00630	355	789	438	590	482	493
ostta16g00640	90	149	133	169	144	100
ostta16g00650	157	275	171	204	174	91
ostta16g00660	627	1350	644	772	658	744
ostta16g00670	1206	2588	1325	1828	1520	4689
ostta16g00680	152	356	194	244	201	157
ostta16g00690	133	297	180	207	201	120
ostta16g00700	195	520	180	163	106	13
ostta16g00710	247	524	337	314	275	315
ostta16g00720	62	151	112	104	102	22
ostta16g00730	57	112	51	68	38	29
ostta16g00740	955	1836	1080	1025	892	701
ostta16g00750	11	25	11	12	13	18
ostta16g00760	145	370	126	250	232	136
ostta16g00765	160	268	225	196	137	189
ostta16g00770	270	593	437	295	196	241
ostta16g00780	93	139	82	158	153	135
ostta16g00790	232	441	364	544	361	346
ostta16g00800	83	194	85	175	116	92
ostta16g00810	105	160	93	159	123	161
ostta16g00820	132	244	130	134	152	102
ostta16g00830	765	1949	817	817	733	1168
ostta16g00840	467	1443	392	600	497	478
ostta16g00850	105	232	124	137	122	122
ostta16g00860	32	51	16	32	34	3
ostta16g00870	114	232	122	103	81	9
ostta16g00880	106	157	110	147	141	33
ostta16g00890	19	27	26	34	53	26
ostta16g00900	46	84	70	99	55	25
ostta16g00910	195	424	206	435	258	11
ostta16g00920	78	143	85	159	130	122
ostta16g00930	308	659	338	448	382	209
ostta16g00940	53	121	37	71	65	7
ostta16g00950	94	251	71	125	126	104
ostta16g00960	952	3070	866	1247	1350	1023
ostta16g00970	36	46	43	38	48	32
ostta16g00980	86	156	90	95	112	48
ostta16g00990	249	452	247	158	113	14
ostta16g01000	326	565	421	489	445	184
ostta16g01010	362	710	331	496	561	478
ostta16g01020	133	385	126	168	161	897
ostta16g01030	117	265	133	139	167	116
ostta16g01040	222	508	199	256	263	244
ostta16g01050	7	6	9	2	0	2
ostta16g01060	15	72	24	25	18	1
ostta16g01070	248	607	222	289	276	270
